_date,total_views,unique_views
2024-06-13,13,5
2024-06-14,73,7
2024-06-15,1,1
2024-06-16,1,1
2024-06-17,27,7
2024-06-18,40,6
2024-06-19,25,3
2024-06-20,39,2
2024-06-21,6,2
2024-06-22,42,2
2024-06-23,35,2
2024-06-24,48,9
2024-06-25,88,8
2024-06-26,38,7
2024-06-27,34,7
2024-06-28,11,7
2024-07-01,42,3
2024-07-02,69,7
2024-07-03,31,6
2024-07-04,58,6
2024-07-05,12,3
2024-07-08,56,6
2024-07-10,20,4
2024-07-11,75,3
2024-07-12,21,6
2024-07-15,11,4
2024-07-16,174,8
2024-07-17,59,4
2024-07-18,38,6
2024-07-19,10,2
2024-07-22,101,5
2024-07-23,113,6
2024-07-24,89,8
2024-07-25,35,4
2024-07-26,108,5
2024-07-29,74,11
2024-07-30,39,4
2024-07-31,102,6
2024-08-01,55,6
2024-08-02,22,3
2024-08-05,137,4
2024-08-06,118,3
2024-08-07,256,7
2024-08-08,165,11
2024-08-09,130,12
2024-08-11,1,1
2024-08-12,203,9
2024-08-13,151,7
2024-08-14,239,11
2024-08-15,19,3
2024-08-16,98,7
2024-08-18,7,1
2024-08-19,407,10
2024-08-20,72,4
2024-08-21,119,11
2024-08-22,195,12
2024-08-23,147,9
2024-08-25,4,1
2024-08-26,98,5
2024-08-27,192,6
2024-08-28,92,5
2024-08-29,39,6
2024-08-30,14,4
2024-09-01,4,1
2024-09-02,111,5
2024-09-03,177,8
2024-09-04,315,10
2024-09-05,138,11
2024-09-06,89,7
2024-09-07,113,4
2024-09-08,4,3
2024-09-09,55,5
2024-09-10,154,6
2024-09-11,92,5
2024-09-12,25,3
2024-09-13,84,7
2024-09-14,1,1
2024-09-15,1,1
2024-09-16,112,9
2024-09-17,44,6
2024-09-18,7,4
2024-09-19,162,11
2024-09-20,207,9
2024-09-21,22,3
2024-09-22,7,2
