_date,total_clones,unique_clones
2024-06-14,99,4
2024-06-15,16,1
2024-06-16,16,1
2024-06-17,18,2
2024-06-18,33,2
2024-06-19,19,4
2024-06-20,16,1
2024-06-21,18,2
2024-06-22,16,1
2024-06-23,17,2
2024-06-24,18,2
2024-06-25,16,1
2024-06-26,16,1
2024-06-27,38,3
2024-06-28,17,2
2024-06-29,18,3
2024-06-30,18,1
2024-07-01,19,2
2024-07-02,68,2
2024-07-03,16,1
2024-07-04,17,2
2024-07-05,16,1
2024-07-06,16,1
2024-07-07,21,3
2024-07-08,18,2
2024-07-09,16,1
2024-07-10,16,1
2024-07-11,16,1
2024-07-12,32,1
2024-07-13,17,2
2024-07-14,20,3
2024-07-15,17,1
2024-07-16,16,1
2024-07-17,16,1
2024-07-18,16,1
2024-07-19,16,1
2024-07-20,16,1
2024-07-21,21,3
2024-07-22,17,1
2024-07-23,16,1
2024-07-24,16,1
2024-07-25,16,1
2024-07-26,16,1
2024-07-27,16,1
2024-07-28,18,1
2024-07-29,17,1
2024-07-30,79,5
2024-07-31,174,4
2024-08-01,16,1
2024-08-02,16,1
2024-08-03,16,1
2024-08-04,18,1
2024-08-05,18,2
2024-08-06,17,2
2024-08-07,16,1
2024-08-08,16,1
2024-08-09,16,1
2024-08-10,16,1
2024-08-11,18,1
2024-08-12,263,4
2024-08-13,19,4
2024-08-14,133,6
2024-08-15,16,1
2024-08-16,152,4
2024-08-17,18,3
2024-08-18,18,1
2024-08-19,137,11
2024-08-20,80,4
2024-08-21,94,2
2024-08-22,177,6
2024-08-23,21,4
2024-08-24,19,2
2024-08-25,20,1
2024-08-26,78,3
2024-08-27,313,12
2024-08-28,23,4
2024-08-29,22,3
2024-08-30,21,2
2024-08-31,22,3
2024-09-01,20,1
